station_mac,manufacturer,bssid,avg_power,total_packets
00:95:69:E7:7D:21,"LSD Science and Technology Co.,Ltd.",(not associated),-33,8171
00:95:69:E7:7C:ED,"LSD Science and Technology Co.,Ltd.",(not associated),-55,4096
00:95:69:E7:7F:35,"LSD Science and Technology Co.,Ltd.",(not associated),-69,2245
98:F6:21:72:9E:D6,Xiaomi Communications Co Ltd,E8:28:C1:DC:B2:52,-59,2143
F6:4D:98:98:18:C3,NA,00:26:99:F2:7A:E2,-61,1062
52:FE:C5:8B:DF:D3,NA,8E:55:4A:85:5B:01,-57,1037
C0:E4:34:D8:E7:E5,AzureWave Technology Inc.,BE:F1:71:D5:17:8B,-61,958
74:DF:BF:7B:00:19,Liteon Technology Corporation,E8:28:C1:DC:B2:50,-65,911
50:3E:AA:33:52:EC,"TP-LINK TECHNOLOGIES CO.,LTD.",(not associated),-53,862
CA:66:3B:8F:56:DD,NA,BE:F1:71:D5:17:8B,-33,858
14:13:33:59:9F:AB,AzureWave Technology Inc.,(not associated),-57,849
0A:AB:49:39:BB:29,NA,E8:28:C1:DC:B2:52,-61,801
04:8C:9A:0B:40:EA,"Huawei Device Co., Ltd.",E8:28:C1:DD:04:52,-73,756
D2:29:A5:2C:7E:50,NA,8E:55:4A:85:5B:01,-45,701
BC:F1:71:D5:0E:53,Intel Corporate,(not associated),-35,675
BC:F1:71:D5:17:8B,Intel Corporate,(not associated),-29,667
BC:F1:71:D5:48:00,Intel Corporate,(not associated),-37,635
BC:F1:71:D5:B3:5D,Intel Corporate,(not associated),-61,617
BC:F1:71:D6:10:D7,Intel Corporate,(not associated),-31,606
34:E1:2D:3C:C8:2D,Intel Corporate,6E:C7:EC:16:DA:1A,-59,580
BC:F1:71:D5:12:BD,Intel Corporate,(not associated),-35,557
BC:F1:71:D4:CC:7C,Intel Corporate,(not associated),-29,539
D8:9B:3B:FA:6D:50,"HUAWEI TECHNOLOGIES CO.,LTD",E8:28:C1:DC:B2:50,-61,498
BC:F1:71:D5:3F:C7,Intel Corporate,(not associated),-55,463
FE:B7:DD:ED:94:91,NA,E8:28:C1:DC:B2:52,-73,452
10:51:07:FE:77:B6,Intel Corporate,(not associated),-55,444
CA:54:C4:8B:B5:3A,NA,00:26:99:F2:7A:E2,-65,437
50:3E:AA:33:F5:5B,"TP-LINK TECHNOLOGIES CO.,LTD.",(not associated),-63,433
5C:3A:45:9E:1A:7B,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",BE:F1:71:D6:10:D7,-39,432
B0:BE:83:81:8E:68,"Apple, Inc.",00:26:99:BA:75:80,-63,430
BC:F1:71:D5:14:66,Intel Corporate,(not associated),-47,426
